ThreeDigitZips
WHITE RIV JCT VT 057
WHITE RIV JCT VT 058
WHITE RIV JCT VT 059
WICHITA FALLS TX 763
WICHITA KS 670
WICHITA KS 671
WICHITA KS 672U
WILKES BARRE PA 182
WILKES BARRE PA 186
WILKES BARRE PA 187U
WILLIAMSPORT PA 169
WILLIAMSPORT PA 177
WILLISTON ND 588
WILLMAR MN 562
WILMINGTON DE 197
WILMINGTON DE 198U
WILMINGTON DE 199
WINCHESTER VA 226
WINSTON-SALEM NC 271U
WOLF POINT MT 592
WOODWARD OK 738
WORCESTER MA 016U
WORLAND WY 824
YAKIMA WA 989
YELLOWSTONE NL PK WY 821U
YONKERS NY 107U
YORK PA 174U
YOUNGSTOWN OH 444
YOUNGSTOWN OH 445U
ZANESVILLE OH 437
ZANESVILLE OH 438
